threshold,score,recall_melanoma,precision_melanoma,f1_melanoma,recall_macro,f1_macro,accuracy
0.29,0.6849013739562823,0.7005988023952096,0.4148936170212766,0.5211581291759465,0.6437745336027374,0.6540539633798977,0.7736351531291611
0.3,0.6780223669208814,0.6826347305389222,0.4318181818181818,0.5290023201856149,0.6433383143060283,0.6560265010023311,0.7816245006657789
0.31,0.6737691337543736,0.6706586826347305,0.44621513944223107,0.5358851674641149,0.6437712971951725,0.6580935755760989,0.7869507323568575
0.32,0.6722483957950245,0.6646706586826348,0.45867768595041325,0.5427872860635696,0.644775701853105,0.6601213620342509,0.7916111850865513
0.33,0.661320689218476,0.6407185628742516,0.4713656387665198,0.5431472081218274,0.6426320198901351,0.6599076958307527,0.7949400798934754
0.34,0.6578096488978461,0.6287425149700598,0.4976303317535545,0.5555555555555556,0.6442148138694482,0.6632247581622348,0.8022636484687083
0.35,0.6354896872386042,0.5808383233532934,0.5187165775401069,0.5480225988700564,0.6400832252483893,0.66187985782497,0.8062583222370173
0.36,0.6242378990128414,0.5568862275449101,0.5314285714285715,0.543859649122807,0.6376555330610513,0.6611296963732176,0.8082556591211718
0.37,0.6244449667465095,0.5568862275449101,0.5406976744186046,0.5486725663716814,0.6377975381732354,0.6615780516335888,0.8089214380825566
0.38,0.6190530385525049,0.5449101796407185,0.5548780487804879,0.5498489425981873,0.6367966997478425,0.6615689610717678,0.810918774966711
0.39,0.6067494462272112,0.5209580838323353,0.5506329113924051,0.5353846153846153,0.6335169768874004,0.6588910772676978,0.8089214380825566
0.4,0.5975894737985729,0.5029940119760479,0.5454545454545454,0.5233644859813084,0.6310926860201148,0.6570585727573984,0.8075898801597869
0.41,0.5918793776832011,0.49101796407185627,0.5503355704697986,0.5189873417721519,0.6298078373703538,0.6565366418587114,0.8082556591211718
0.42,0.5824821278275134,0.47305389221556887,0.541095890410959,0.5047923322683706,0.6272415413908841,0.6541349433145155,0.8062583222370173
0.43,0.5799213156672529,0.46706586826347307,0.5531914893617021,0.5064935064935064,0.6268121247342797,0.6544810479434215,0.8075898801597869
0.44,0.5806159024965426,0.46706586826347307,0.5693430656934306,0.5131578947368421,0.6273801451830158,0.6557397325633758,0.8102529960053262
0.45,0.5717634195109129,0.4491017964071856,0.5725190839694656,0.5033557046979866,0.6252398645400984,0.6543773544765082,0.8102529960053262
0.46,0.5719379835084636,0.4491017964071856,0.5769230769230769,0.5050505050505051,0.6253818696522825,0.6546956947924097,0.810918774966711
0.47,0.5630257241630838,0.4311377245508982,0.5806451612903226,0.4948453608247423,0.6232415890093649,0.6530942112665423,0.810918774966711
0.48,0.5633759264581004,0.4311377245508982,0.5901639344262295,0.4982698961937716,0.623525599233733,0.6537351890980064,0.8122503328894807
0.49,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.5,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.51,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.52,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.53,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.54,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.55,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.56,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.57,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
0.58,0.5638050922221841,0.4311377245508982,0.5950413223140496,0.5,0.6243914000995339,0.6544928998771463,0.8129161118508655
